nombre,pais,api_id,api_source
King Leopold II,Brussels as,Leopold II of Belgium,wikipedia
Turning Point USA,traditional conservative,Turning Point USA,wikipedia
Park Chan-wook,,Park Chan-wook,wikipedia
Snoop Doggy Dogg,MNRK Music,Snoop Dogg,wikipedia
Ernest Tidyman,,Ernest Tidyman,wikipedia
Electronic Arts,,Electronic Arts,wikipedia
Manuel Gonzales,,Manuel Gonzales,wikipedia
Richard Lester,Philadelphia,Richard Lester,wikipedia
John Ratcliff,the University,John Ratcliffe,wikipedia
Rough Trade Records,,Rough Trade Records,wikipedia
Thelma Ritter,,Thelma Ritter,wikipedia
Finders Keepers,Charles Dennis,Finders Keepers (1984 film),wikipedia
Norfolk Jubilee Quartet,the United,I Am a Pilgrim,wikipedia
Gopi Sundar,,Gopi Sundar,wikipedia
Ian McEwan,British,Ian McEwan,wikipedia
Dark Horse Comics,Richardson,Dark Horse Comics,wikipedia
David Magee,Magee,David Magee,wikipedia
Konami Digital Entertainment,,Konami,wikipedia
Paul Feig,,Paul Feig,wikipedia
Eva Husson,,Eva Husson,wikipedia
Mu Fusheng,,Lie to Love,wikipedia
Mark Steven Johnson,,Mark Steven Johnson,wikipedia
Stephen King,American,Stephen King,wikipedia
General Wireless,lower,RadioShack,wikipedia
Ang Lee,Pingtung County,Ang Lee,wikipedia
Mike Judge,Guayaquil,Mike Judge,wikipedia
David Means,,David Means,wikipedia
Matt Damon,,Matt Damon,wikipedia
Rob Cavallo,,Rob Cavallo,wikipedia
Robin Swicord. The,,Robin Swicord,wikipedia
Jojo Moyes. It,,Jojo Moyes,wikipedia
Lieutenant Commander D.N. Penfold,,Penfold Point,wikipedia
George Whitman,,George Whitman,wikipedia
Sydney Pollack,,Sydney Pollack,wikipedia
Lulu Wang,,Lulu Wang (filmmaker),wikipedia
John Ehle. The,,John Ehle,wikipedia
Ayn Rand,literary critics,Ayn Rand,wikipedia
Dana Stevens,,Dana Stevens,wikipedia
Christopher Markus,,Christopher Markus and Stephen McFeely,wikipedia
Liane Moriarty,Australian,Liane Moriarty,wikipedia
Dan Brown,American,Dan Brown,wikipedia
Martin Suter,Swiss,Martin Suter,wikipedia
Michael Crichton,Harvard Medical,Michael Crichton,wikipedia
David Koepp. It,,David Koepp,wikipedia
Kevin Kwan,,Kevin Kwan,wikipedia
David E. Kelley,,David E. Kelley,wikipedia
Helen Schucman,,Helen Schucman,wikipedia
A. P. Carter,,A. P. Carter,wikipedia
Team Silent,,Team Silent,wikipedia
Susan Sarandon,,Susan Sarandon,wikipedia
Viking Press,,Viking Press,wikipedia
Jean Terrell,,Jean Terrell,wikipedia
Animaccord Animation Studio,,Animaccord,wikipedia
Sydney Smith,,Sydney Smith,wikipedia
Charles Perrault,earlier folk,Charles Perrault,wikipedia
Walt Disney,Chicago in,Walt Disney,wikipedia
Danny Boyle,,Danny Boyle,wikipedia
Two Women,Ciociaria,Two Women,wikipedia
Keith Chapman,,Keith Chapman,wikipedia
Samuel D. Hunter,Pullman,Samuel D. Hunter,wikipedia
Max Martin,,Max Martin,wikipedia
Kelly Galuska.,critics,Lodging (Widow's Bay),wikipedia
DreamWorks Animation,Amblin Entertainment,DreamWorks Animation,wikipedia
Ali Benjamin,American,Ali Benjamin,wikipedia
Oliver Jeffers,the University,Oliver Jeffers,wikipedia
William Spaulding,,William Spaulding,wikipedia
Adam Wingard,,Adam Wingard,wikipedia
Dr. Seuss,children,Dr. Seuss,wikipedia
The Irish Times,,The Irish Times,wikipedia
Hank Nelken,,Hank Nelken,wikipedia
Jonathan Cape,poets including,Jonathan Cape,wikipedia
Alfred A. Knopf,,Alfred A. Knopf,wikipedia
Saint Paul,the mid,Paul the Apostle,wikipedia
Trey Parker,Conifer,Trey Parker,wikipedia
Edward Tylor,savagery,Edward Burnett Tylor,wikipedia
Macmillan Publishers,,Macmillan Publishers,wikipedia
Kader Khan. Released,the,Kader Khan filmography,wikipedia
Greg Daniels,,Greg Daniels,wikipedia
Amir Amor,,Amir Amor,wikipedia
Ruhollah Khomeini,the city,Ruhollah Khomeini,wikipedia
Kelly Bishop,,Kelly Bishop,wikipedia
One World Trade Center,,One World Trade Center,wikipedia
Klaus Schwab,January,Klaus Schwab,wikipedia
MIT Technology Review,,MIT Technology Review,wikipedia
Oprah Winfrey,Chicago,Oprah Winfrey,wikipedia
Walter Isaacson,,Walter Isaacson,wikipedia
James Hawes,,James Hawes,wikipedia
Lauren Faust,,Lauren Faust,wikipedia
Krista Tippett,,Krista Tippett,wikipedia
Saban Entertainment,Japan such,BVS Entertainment,wikipedia
President Barack Obama,Honolulu,Barack Obama,wikipedia
William Shakespeare,,William Shakespeare,wikipedia
Geetha Arts,,Geetha Arts,wikipedia
Ron Chernow,American,Ron Chernow,wikipedia
Yuko Shimizu,,Yuko Shimizu,wikipedia
Wassily Kandinsky,Moscow,Wassily Kandinsky,wikipedia
Disney Hyperion,,Disney Publishing Worldwide,wikipedia
Bonham Carter,Baghdad,Helena Bonham Carter,wikipedia
Kathy Bates,Memphis,Kathy Bates,wikipedia
Yoo Young-eun,,Yoo Young-eun,wikipedia
Sue Klebold,American,Sue Klebold,wikipedia
BBC Television,its own,BBC Television,wikipedia
Warner Records,,Warner Records,wikipedia
Joanna Goddard,,Cup of Jo,wikipedia
Paul Abbott,,Paul Abbott,wikipedia
Viktor E. Frankl,,Viktor Frankl,wikipedia
Lee Joon-ik,,Lee Joon-ik,wikipedia
RCA Victor,its defunct,RCA Records,wikipedia
Robert Towne,,Robert Towne,wikipedia
Warner Bros. Pictures,,Warner Bros. Pictures,wikipedia
Michael Nyman,,Michael Nyman,wikipedia
Richard Brooks,,Richard Brooks,wikipedia
Susanna Kaysen,American,Susanna Kaysen,wikipedia
Steven Zaillian,the Writers,Steven Zaillian,wikipedia
Kim Gordon,Rochester,Kim Gordon,wikipedia
Annapurna Interactive,,Annapurna Interactive,wikipedia
Jim Cash,,Jim Cash,wikipedia
Casey Scharf,,Rainn Wilson and the Geography of Bliss,wikipedia
